#TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
46,-56,27,Right-AngGyrus (39),45,-58,27
47,-62,26,Right-AngGyrus (39),46,-65,26
51,-51,26,Right-AngGyrus (39),51,-53,26
56,-48,24,Right-AngGyrus (39),56,-50,23
51,-40,16,Right-SupTempGyrus (22),52,-41,14
53,-49,30,Right-AngGyrus (39),53,-52,30
57,-45,12,Right-AngGyrus (39),58,-46,9
39,-47,48,Right-VisMotor (7),38,-51,53
57,-45,12,Right-AngGyrus (39),58,-46,9
50,-38,20,Right-SupTempGyrus (22),51,-39,19
60,-46,28,Right-AngGyrus (39),60,-48,28
53,-40,16,Right-SupTempGyrus (22),54,-41,14
58,-43,17,Right-AngGyrus (39),59,-44,15
57,-48,10,Right-Fusiform (37),58,-49,6
56,-36,24,Right-SupramargGyr (40),57,-38,23
56,-36,24,Right-SupramargGyr (40),57,-38,23
55,-53,4,Right-Fusiform (37),56,-53,-1
46,-55,17,Right-AngGyrus (39),46,-57,15
44,-46,19,Right-Fusiform (37),44,-48,17
50,-36,28,Right-SupramargGyr (40),51,-38,28
50,-48,26,Right-AngGyrus (39),50,-50,26
51,-51,26,Right-AngGyrus (39),51,-53,26
54,-48,30,Right-AngGyrus (39),54,-51,30
58,-38,14,Right-SupTempGyrus (22),60,-39,11
56,-52,16,Right-Fusiform (37),56,-53,14
55,-49,15,Right-AngGyrus (39),56,-50,12
60,-48,32,Right-AngGyrus (39),60,-52,32
59,-50,6,Right-Fusiform (37),60,-50,2
54,-51,28,Right-AngGyrus (39),54,-53,28
55,-53,27,Right-AngGyrus (39),55,-55,27
57,-47,26,Right-AngGyrus (39),57,-49,26
55,-48,8,Right-Fusiform (37),56,-49,4
54,-45,8,Right-Fusiform (37),55,-45,4
59,-45,27,Right-AngGyrus (39),59,-47,27
59,-46,15,Right-AngGyrus (39),60,-47,12
56,-36,16,Right-SupTempGyrus (22),58,-37,14
57,-58,41,Outside defined BAs,56,-62,44
55,-44,24,Right-AngGyrus (39),55,-46,23
51,-49,28,Right-AngGyrus (39),51,-51,28
45,-49,42,Right-AngGyrus (39),44,-52,45
53,-39,40,Right-SupramargGyr (40),53,-42,42
52,-49,17,Right-AngGyrus (39),52,-50,15
52,-8,14,Right-PrimSensory (1),55,-7,12
46,-45,26,Right-AngGyrus (39),46,-47,26
45,-66,17,Right-VisualAssoc (19),44,-68,15
59,-47,24,Right-AngGyrus (39),59,-49,23
56,-55,17,Right-AngGyrus (39),56,-56,15
58,-57,18,Right-AngGyrus (39),58,-59,16
65,-42,12,Right-SupTempGyrus (22),67,-43,9
