#TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
68,-40,16,Outside defined BAs,70,-41,13
59,-45,35,Right-AngGyrus (39),59,-48,36
46,-62,33,Right-AngGyrus (39),45,-65,34
53,-51,19,Right-AngGyrus (39),53,-53,17
48,-54,28,Right-AngGyrus (39),47,-56,28
40,-47,39,Right-AngGyrus (39),39,-50,42
48,-60,44,Right-AngGyrus (39),47,-64,48
47,-45,41,Right-SupramargGyr (40),46,-48,44
50,-38,11,Right-SupTempGyrus (22),52,-39,8
63,-33,35,Right-SupramargGyr (40),64,-36,36
59,-53,23,Right-AngGyrus (39),59,-55,22
50,-49,13,Right-Fusiform (37),51,-50,10
52,-57,19,Right-AngGyrus (39),52,-59,17
